ID,Message,Fashion,Brand,Refund,Sentiment,Intent,
1,"""My Gucci dress is torn at the seam.""",Fashion,Gucci,Yes,Negative,Damage,
2,"""This MAC lip gloss is very sticky.""",Fashion,MAC,No,Negative,Quality,
3,"""The Ordinary serum arrived broken.""",Cosmetic,Ordinary,Yes,Negative,Damage,
4,"""I love these Zara boots so much!""",Fashion,Zara,No,Positive,Feedback,
5,"""Can I return a used Dior cream?""",Cosmetic,Dior,No,Neutral,Policy,
6,"""The H&M sizing is way too small.""",Fashion,H&M,Yes,Frustrated,Sizing,
7,"""Is this Fenty blush vegan?""",Cosmetic,Fenty,No,Neutral,Inquiry,
8,"""My Prada bag arrived empty!""",Fashion,Prada,Yes,Negative,Missing,
9,"""I received a red shirt instead of blue.""",Fashion,Uniqlo,Yes,Neutral,Wrong Item,
10,"""The pump on my NARS bottle is stuck.""",Cosmetic,NARS,Yes,Frustrated,Damage,
11,"""Do you ship Chanel to Dubai?""",Fashion,Chanel,No,Neutral,Shipping,
12,"""This fabric feels like plastic.""",Fashion,Shein,Yes,Negative,Quality,
13,"""I want to cancel my Adidas order.""",Fashion,Adidas,Yes,Neutral,Cancel,
14,"""The lipstick gave me a bad rash.""",Cosmetic,MAC,Yes,Negative,Safety,
15,"""Is there a sale on Nike today?""",Fashion,Nike,No,Positive,Inquiry,
16,"""I lost my receipt for this blazer.""",Fashion,Mango,Partial,Neutral,Policy,
17,"""The eyeshadow arrived shattered.""",Cosmetic,Rare Beauty,Yes,Negative,Damage,
18,"""I've been waiting 3 weeks for my bag.""",Fashion,Gucci,Yes,Angry,Tracking,
19,"""Do you have this in size XL?""",Fashion,Zara,No,Neutral,Sizing,
20,"""The moisturizer smells expired.""",Cosmetic,Ordinary,Yes,Negative,Quality,
21,"""My account was charged twice.""",Cosmetic,Clinique,Yes,Neutral,Billing,
22,"""This silk scarf is beautiful!""",Fashion,Hermes,No,Positive,Feedback,
23,"""I want a refund for final sale items.""",Fashion,H&M,No,Frustrated,Refund,
24,"""The zipper on these jeans snapped.""",Fashion,Levi's,Yes,Negative,Damage,
25,"""Is the Retinol safe for pregnancy?""",Cosmetic,Ordinary,No,Neutral,Medical,
26,"""The box was wet but the dress is dry.""",Fashion,ASOS,No,Neutral,Shipping,
27,"""I need to change my delivery address.""",Fashion,Next,No,Neutral,Update,
28,"""My skin is peeling after using this.""",Cosmetic,Dior,Yes,Negative,Safety,
29,"""Can I pay with Tabby or Tamara?""",Fashion,Namshi,No,Neutral,Payment,
30,"""The gold plating is already fading.""",Fashion,Cartier,Yes,Negative,Quality,
31,"""I want to talk to a manager now.""",Fashion,Zara,No,Angry,Escalation,
32,"""Does the foundation have SPF?""",Cosmetic,MAC,No,Neutral,Inquiry,
33,"""The courier was very polite.""",Fashion,Noon,No,Positive,Feedback,
34,"""My tracking number doesn't work.""",Fashion,Victoria's Secret,No,Frustrated,Tracking,
35,"""I ordered a bundle but one is missing.""",Cosmetic,Fenty,Yes,Neutral,Missing,
36,"""Is this dress made of real silk?""",Fashion,Prada,No,Neutral,Inquiry,
37,"""The eyeshadow isn't pigmented at all.""",Cosmetic,Urban Decay,Yes,Negative,Quality,
38,"""Can I exchange this for a gift card?""",Fashion,H&M,Partial,Neutral,Policy,
39,"""The app is not showing my rewards.""",Fashion,Sephora,No,Neutral,Tech,
40,"""I found a better price elsewhere.""",Fashion,Amazon,Yes,Neutral,Price Match,
41,"""The lace is very itchy.""",Fashion,Agent Provocateur,Yes,Negative,Quality,
42,"""I want to return a gift I received.""",Fashion,Burberry,Partial,Neutral,Policy,
43,"""My perfume cap won't stay on.""",Cosmetic,Chanel,Yes,Frustrated,Damage,
44,"""I am allergic to lavender.""",Cosmetic,Lush,No,Neutral,Inquiry,
45,"""The pants are too long for me.""",Fashion,Uniqlo,Yes,Neutral,Sizing,
46,"""The colors look different than online.""",Cosmetic,Anastasia,Yes,Negative,Quality,
47,"""Where is the physical store in Dubai?""",Fashion,Bloomingdales,No,Neutral,Location,
48,"""I was sent two of the same item.""",Fashion,Nike,Yes,Neutral,Error,
49,"""The texture of this cream is oily.""",Cosmetic,La Mer,Yes,Negative,Quality,
50,"""I want to delete my saved credit card.""",Fashion,6th Street,No,Neutral,Privacy,
51,"""The serial number on this bag doesn't match the card.""",Fashion,Chanel,Yes,Negative,Fraud/Auth,
52,"""Does this night repair serum contain synthetic fragrance?""",Cosmetics,Estée Lauder,No,Neutral,Ingredients,
53,"""I ordered from Dubai, but the package is stuck in Riyadh.""",Fashion,Namshi,No,Frustrated,Shipping,
54,"""The Ultra Facial Cream gave me a burning sensation.""",Cosmetics,Kiehl's,Yes,Negative,Safety,
55,"""These loafers are authentic but have a small scuff.""",Fashion,Level Shoes,Partial,Neutral,Damage,
56,"""I want to redeem my 500 points for the sample kit.""",Cosmetics,Sephora,No,Positive,Loyalty,
57,"""Do you provide same-day delivery in Abu Dhabi?""",Fashion,Ounass,No,Neutral,Shipping,
58,"""The Magic Cream jar was not sealed when it arrived.""",Cosmetics,Charlotte Tilbury,Yes,Frustrated,Quality,
59,"""The embroidery on this abaya is starting to unravel.""",Fashion,Bloomingdale's,Yes,Negative,Quality,
60,"""This palette is broken. Can I get a replacement?""",Cosmetics,Huda Beauty,Yes,Negative,Damage,
61,"""I was charged import duties that weren't mentioned.""",Fashion,Farfetch,Yes,Angry,Billing,
62,"""Is the Peeling Solution safe for sensitive skin?""",Cosmetics,The Ordinary,No,Neutral,Usage,
63,"""I forgot my item in the fitting room at Dubai Mall.""",Fashion,Zara,No,Frustrated,Store Help,
64,"""The Water Cream is much smaller than I expected.""",Cosmetics,Tatcha,No,Neutral,Feedback,
65,"""I need to tailor the sleeves. Do you offer this?""",Fashion,Burberry,No,Neutral,Service,
66,"""The bath bomb crumbled before I could use it.""",Cosmetics,Lush,Yes,Negative,Quality,
67,"""These Jordan's look like replicas. Please verify.""",Fashion,Nike,Yes,Negative,Fraud/Auth,
68,"""My Cloud Paint arrived completely dried out.""",Cosmetics,Glossier,Yes,Negative,Quality,
69,"""The linen suit is very wrinkled. Is this normal?""",Fashion,Massimo Dutti,No,Neutral,Inquiry,
70,"""Does the C-Firma serum need to be refrigerated?""",Cosmetics,Drunk Elephant,No,Neutral,Usage,
71,"""Can I return an online order to a physical store?""",Fashion,Mango,No,Neutral,Policy,
72,"""The perfume spray nozzle is blocked.""",Cosmetics,Maison Margiela,Yes,Frustrated,Damage,
73,"""I want to pre-order the new Ramadan collection.""",Fashion,Louis Vuitton,No,Positive,Availability,
74,"""The Lip Sleeping Mask has a strange texture.""",Cosmetics,Laneige,Yes,Negative,Quality,
75,"""I used a coupon but it didn't apply the discount.""",Fashion,Splash,Yes,Frustrated,Billing,
76,"""Is the Gimme Brow waterproof or water-resistant?""",Cosmetics,Benefit,No,Neutral,Inquiry,
77,"""The polo shrank significantly after one wash.""",Fashion,Lacoste,Yes,Negative,Quality,
78,"""Is there a limit on how many bottles I can buy?""",Cosmetics,SK-II,No,Neutral,Policy,
79,"""The left lens has a deep scratch near the frame.""",Fashion,Ray-Ban,Yes,Negative,Damage,
80,"""The lipstick case is magnetic but feels loose.""",Cosmetics,Tom Ford,Yes,Neutral,Quality,
81,"""I need to change my size from Medium to Large.""",Fashion,Pull & Bear,No,Neutral,Sizing,
82,"""The foundation oxidizes and turns orange.""",Cosmetics,Bobbi Brown,Yes,Negative,Quality,
83,"""The heel of my boot snapped while walking.""",Fashion,Aldo,Yes,Angry,Damage,
84,"""Is this cleanser non-comedogenic?""",Cosmetics,CeraVe,No,Neutral,Ingredients,
85,"""One crystal is missing from my bracelet.""",Fashion,Swarovski,Yes,Negative,Missing,
86,"""The eyeliner is completely dried out in the box.""",Cosmetics,KVD Beauty,Yes,Negative,Quality,
87,"""The lining of the bag is ripped.""",Fashion,Ted Baker,Yes,Negative,Damage,
88,"""Does the hand wash contain microplastics?""",Cosmetics,Aesop,No,Neutral,Ingredients,
89,"""My watch battery died after only two months.""",Fashion,Rivoli,Yes,Frustrated,Quality,
90,"""Can I use the Micellar water on waterproof glue?""",Cosmetics,Bioderma,No,Neutral,Usage,
91,"""The package says delivered but I was home.""",Fashion,Sun & Sand,Yes,Angry,Shipping,
92,"""The Better Than Sex mascara is clumping.""",Cosmetics,Too Faced,Yes,Negative,Quality,
93,"""I want to invite a friend to the VIP sale.""",Fashion,Prada,No,Positive,Loyalty,
94,"""The cream smells heavily of alcohol.""",Cosmetics,Shiseido,No,Neutral,Feedback,
95,"""I ordered 3 items but only 2 arrived.""",Fashion,Gap,Yes,Frustrated,Missing,
96,"""The candle glass cracked when I lit it.""",Cosmetics,Jo Malone,Yes,Negative,Safety,
97,"""The leather is peeling after very little use.""",Fashion,Coach,Yes,Negative,Quality,
98,"""Is this limited edition item coming back?""",Cosmetics,Pat McGrath,No,Positive,Availability,
99,"""The sole of the sneaker is coming unglued.""",Fashion,New Balance,Yes,Negative,Quality,
100,"""The perfume box was crushed during transit.""",Cosmetics,Byredo,Yes,Negative,Shipping,
